AD_Org_ID[Name],AD_Package_Exp_ID[Name],Line,Type,AD_EntityType_ID[EntityType],AD_Menu_ID[Name],FileName,File_Directory,Target_Directory,Destination_FileName,Destination_Directory,AD_Table_ID[Name],DBType,SQLStatement,AD_Package_Code_Old,AD_Package_Code_New,AD_Form_ID[Name],AD_Process_ID[Value],AD_Workflow_ID[Value],AD_Window_ID[Name],AD_Role_ID[Name],AD_ReportView_ID[Name],AD_ImpFormat_ID[Name],AD_Val_Rule_ID[Name],AD_Message_ID[Value],AD_PrintFormat_ID[Name],ReleaseNo,Description,AD_Reference_ID[Name],AD_ModelValidator_ID[Name],AD_InfoWindow_ID[Name],ExecCode
*,AMERPSOFT Financial Rpt OrgParent,2030,P,,,,,,,,,ALL,,,,,AmfinStateFinancialIntegralResultsOrgTre,,,,,,,,,,,,,,
*,AMERPSOFT Financial Rpt OrgParent,2040,P,,,,,,,,,ALL,,,,,AmfinTrialBalanceJasperTwoDatesOrgTree,,,,,,,,,,,,,,
*,AMERPSOFT Financial Rpt OrgParent,2050,P,,,,,,,,,ALL,,,,,AmfinAnaliticFinancialStateJasperOrg,,,,,,,,,,,,,,
*,AMERPSOFT Financial Rpt OrgParent,8010,M,,Amfin Trial Balance Jasper One Period with Org Tree,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Financial Rpt OrgParent,8020,M,,Amfin Trial Balance Jasper by Two Dates Org Tree,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Financial Rpt OrgParent,8020,M,,Amfin State Financial Balance with Org Tree,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Financial Rpt OrgParent,8030,M,,Amfin State Financial Integral Results with Org Tree,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Financial Rpt OrgParent,8040,M,,Amfin Trial Balance Jasper by Two Dates with Org Tree,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Financial Rpt OrgParent,8050,M,,Amfin Analitic Financial State Jasper with Org Tree,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Financial Rpt OrgParent,8100,M,,AMERPSOFT Finantial Reports Org Tree,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Financial Rpt OrgParent,10000,D,,,,,,,,Package Exp.,ALL,SELECT * FROM AD_Package_Exp WHERE AD_Package_Exp_UU='1b5cf8bd-406c-4cdd-afd0-b0d72811bd06';AD_Package_Exp_Detail,,,,,,,,,,,,,,,,,,
